"","Attrition","BusinessTravel","Department","EducationField","Gender","JobRole","MaritalStatus","OverTime","Age_Group","DRate_Group","DistanceFromHome_Group","Education_Group","EmployeeNumber_Group","EnvironmentSat_Group","HourlyRate_Group","JobInvolvement_Group","JobLevel_Group","JobSatisfaction_Group","MonthlyIncome_Group","MonthlyRate_Group","NumCompaniesWorked_Group","PercentSalaryHike_Group","PerformanceRating_Group","RelationshipSatisfaction_Group","StockOptionLevel_Group","TotalWorkingYears_Group","TrainingTimesLastYear_Group","WorkLifeBalance_Group","YearsAtCompany_Group","YearsInCurrentRole_Group","YearsSinceLastPromotion_Group","YearsWithCurrManager_Group"
"563","No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Single","Yes","young","low","long","2","low","satisfactory","low","2","2","satisfactory","medium","medium","small","[12,14)","3","4","0","[10,13)","[3,6]","3","[9,40]","[3,7)","[0,1)","[7,14]"
"564","No","Travel_Frequently","Sales","Life Sciences","Male","Sales Executive","Single","No","young","medium","short","1","medium","satisfactory","low","1","2","satisfactory","medium","high","large","[18,25]","4","2","0","[6,10)","[3,6]","3","[5,9)","[2,3)","[0,1)","[0,2)"
"565","No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Single","No","mid","medium","short","3","low","satisfactory","high","3","1","satisfactory","low","low","large","[11,12)","3","4","0","[6,10)","[3,6]","3","[0,3)","[0,2)","[0,1)","[0,2)"
"566","No","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","Married","No","young","high","medium","4","high","satisfactory","low","3","1","satisfactory","low","high","large","[14,18)","3","3","1","[6,10)","[2,3)","3","[5,9)","[3,7)","[1,15]","[2,3)"
"567","No","Travel_Rarely","Research & Development","Medical","Male","Healthcare Representative","Married","No","elder","medium","short","4","low","satisfactory","high","3","2","satisfactory","high","low","medium","[11,12)","3","3","0","[13,28]","[2,3)","3","[3,5)","[2,3)","[1,15]","[2,3)"
"568","No","Travel_Frequently","Research & Development","Medical","Male","Research Scientist","Single","Yes","elder","high","short","1","medium","unsatisfactory","low","3","1","satisfactory","low","low","large","[14,18)","3","4","0","[6,10)","[2,3)","3","[0,3)","[0,2)","[1,15]","[2,3)"
"569","No","Travel_Rarely","Research & Development","Other","Female","Manufacturing Director","Married","Yes","mid","low","long","2","high","satisfactory","low","2","2","unsatisfactory","medium","high","small","[11,12)","3","4","0","[0,6)","[2,3)","3","[3,5)","[2,3)","[0,1)","[2,3)"
"570","No","Travel_Frequently","Research & Development","Medical","Female","Research Scientist","Divorced","No","young","medium","short","1","medium","unsatisfactory","medium","2","1","satisfactory","low","high","medium","[12,14)","3","3","2","[0,6)","[3,6]","3","[5,9)","[3,7)","[1,15]","[3,7)"
"571","No","Travel_Frequently","Research & Development","Life Sciences","Male","Manufacturing Director","Married","No","elder","high","medium","4","low","unsatisfactory","medium","4","2","satisfactory","medium","low","large","[14,18)","3","4","1","[6,10)","[0,2)","3","[3,5)","[2,3)","[0,1)","[2,3)"
"572","No","Travel_Rarely","Research & Development","Medical","Female","Manufacturing Director","Divorced","No","elder","medium","short","2","low","unsatisfactory","medium","3","2","satisfactory","medium","low","large","[12,14)","3","3","3","[13,28]","[2,3)","3","[5,9)","[0,2)","[0,1)","[3,7)"
"573","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Single","No","young","low","long","2","low","satisfactory","high","3","1","satisfactory","low","high","medium","[14,18)","3","4","0","[0,6)","[3,6]","3","[0,3)","[0,2)","[0,1)","[0,2)"
"574","Yes","Travel_Frequently","Sales","Marketing","Male","Sales Executive","Married","Yes","young","medium","long","4","high","unsatisfactory","medium","3","2","satisfactory","medium","high","medium","[11,12)","3","3","0","[10,13)","[3,6]","3","[9,40]","[7,18]","[0,1)","[7,14]"
"575","Yes","Travel_Rarely","Sales","Medical","Female","Sales Representative","Single","No","young","low","short","3","medium","satisfactory","low","2","1","satisfactory","low","high","medium","[12,14)","3","4","0","[0,6)","[3,6]","2","[0,3)","[2,3)","[0,1)","[2,3)"
"576","No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Divorced","No","mid","low","short","3","low","unsatisfactory","medium","3","3","satisfactory","high","low","small","[12,14)","3","3","2","[13,28]","[3,6]","2","[9,40]","[7,18]","[1,15]","[7,14]"
"577","No","Travel_Frequently","Research & Development","Other","Male","Research Scientist","Divorced","No","mid","low","short","4","high","satisfactory","high","3","1","unsatisfactory","low","high","large","[14,18)","3","3","2","[10,13)","[2,3)","3","[3,5)","[3,7)","[1,15]","[3,7)"
"578","No","Travel_Rarely","Research & Development","Technical Degree","Female","Research Director","Married","No","mid","high","short","3","medium","satisfactory","high","3","3","unsatisfactory","high","medium","medium","[12,14)","3","2","1","[13,28]","[3,6]","3","[9,40]","[7,18]","[1,15]","[7,14]"
"579","Yes","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Married","Yes","elder","medium","long","2","low","satisfactory","medium","2","2","satisfactory","medium","low","medium","[12,14)","3","1","2","[6,10)","[3,6]","3","[5,9)","[3,7)","[1,15]","[0,2)"
"580","Yes","Travel_Frequently","Sales","Life Sciences","Male","Sales Representative","Married","No","young","low","long","4","low","unsatisfactory","medium","2","1","unsatisfactory","low","medium","medium","[18,25]","3","3","1","[0,6)","[2,3)","4","[0,3)","[0,2)","[0,1)","[0,2)"
"581","Yes","Travel_Rarely","Research & Development","Medical","Female","Healthcare Representative","Married","No","mid","high","long","2","medium","unsatisfactory","medium","1","2","unsatisfactory","medium","medium","large","[14,18)","3","1","0","[13,28]","[2,3)","1","[0,3)","[0,2)","[0,1)","[0,2)"
"582","No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Married","Yes","elder","low","long","4","medium","unsatisfactory","low","3","1","satisfactory","medium","low","large","[11,12)","3","1","1","[6,10)","[3,6]","3","[0,3)","[0,2)","[0,1)","[0,2)"
"583","Yes","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Single","Yes","mid","low","long","4","medium","unsatisfactory","high","3","1","satisfactory","low","medium","medium","[18,25]","4","3","0","[0,6)","[2,3)","1","[0,3)","[0,2)","[0,1)","[0,2)"
"584","No","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","Single","Yes","elder","medium","medium","5","high","satisfactory","low","1","2","unsatisfactory","medium","high","medium","[14,18)","3","1","0","[10,13)","[3,6]","3","[9,40]","[7,18]","[1,15]","[3,7)"
"585","No","Travel_Rarely","Sales","Other","Female","Sales Executive","Married","No","young","high","short","2","low","unsatisfactory","low","3","2","satisfactory","medium","medium","small","[18,25]","4","1","1","[0,6)","[2,3)","2","[3,5)","[2,3)","[0,1)","[2,3)"
"586","No","Travel_Rarely","Research & Development","Technical Degree","Male","Laboratory Technician","Married","No","young","medium","short","3","high","unsatisfactory","high","3","1","satisfactory","low","low","large","[11,12)","3","2","1","[6,10)","[2,3)","2","[3,5)","[2,3)","[0,1)","[2,3)"
"587","No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Single","Yes","young","high","short","3","low","satisfactory","medium","3","2","satisfactory","medium","low","medium","[11,12)","3","1","0","[0,6)","[3,6]","3","[5,9)","[3,7)","[0,1)","[3,7)"
"588","Yes","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","Married","Yes","young","high","medium","1","high","satisfactory","high","3","1","unsatisfactory","low","medium","medium","[14,18)","3","3","0","[0,6)","[3,6]","3","[0,3)","[0,2)","[0,1)","[0,2)"
"589","No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Divorced","No","young","low","medium","3","low","satisfactory","low","2","2","satisfactory","medium","low","medium","[12,14)","3","3","3","[10,13)","[2,3)","3","[9,40]","[7,18]","[1,15]","[2,3)"
"590","No","Non-Travel","Research & Development","Medical","Male","Research Scientist","Divorced","No","young","medium","medium","3","low","satisfactory","medium","3","1","unsatisfactory","low","low","large","[18,25]","3","4","1","[6,10)","[0,2)","1","[0,3)","[2,3)","[1,15]","[2,3)"
"591","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Single","No","mid","medium","short","3","high","unsatisfactory","low","3","3","satisfactory","high","low","medium","[18,25]","4","1","0","[13,28]","[3,6]","2","[9,40]","[7,18]","[1,15]","[0,2)"
"592","No","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","Married","No","mid","medium","long","3","low","satisfactory","high","3","1","unsatisfactory","low","medium","large","[18,25]","4","2","1","[13,28]","[3,6]","3","[5,9)","[3,7)","[0,1)","[3,7)"
"593","Yes","Travel_Frequently","Research & Development","Life Sciences","Male","Laboratory Technician","Single","Yes","mid","medium","medium","3","low","unsatisfactory","medium","1","2","satisfactory","medium","high","medium","[18,25]","4","4","0","[6,10)","[3,6]","3","[9,40]","[7,18]","[0,1)","[3,7)"
"594","No","Travel_Rarely","Human Resources","Life Sciences","Female","Human Resources","Single","No","elder","medium","short","2","medium","satisfactory","low","3","1","unsatisfactory","low","high","large","[12,14)","3","3","0","[10,13)","[3,6]","4","[5,9)","[3,7)","[1,15]","[7,14]"
"595","No","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","Divorced","No","mid","high","short","4","low","satisfactory","high","3","1","satisfactory","low","medium","large","[14,18)","3","3","3","[6,10)","[0,2)","3","[3,5)","[2,3)","[1,15]","[2,3)"
"596","No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Single","No","mid","medium","short","5","medium","unsatisfactory","low","4","3","satisfactory","high","low","small","[18,25]","3","4","0","[6,10)","[3,6]","3","[5,9)","[7,18]","[0,1)","[7,14]"
"597","No","Travel_Frequently","Research & Development","Life Sciences","Male","Laboratory Technician","Married","No","mid","low","long","4","low","satisfactory","high","4","1","satisfactory","low","low","large","[18,25]","3","4","2","[0,6)","[2,3)","3","[0,3)","[0,2)","[0,1)","[0,2)"
"598","Yes","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Single","No","mid","medium","long","4","medium","satisfactory","low","4","1","unsatisfactory","low","low","medium","[14,18)","3","3","0","[13,28]","[0,2)","3","[9,40]","[7,18]","[1,15]","[7,14]"
"599","No","Travel_Frequently","Research & Development","Medical","Male","Research Scientist","Married","Yes","mid","medium","medium","3","low","unsatisfactory","low","3","1","satisfactory","low","medium","medium","[12,14)","3","3","3","[0,6)","[3,6]","2","[3,5)","[2,3)","[1,15]","[2,3)"
"600","No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Single","No","mid","low","long","3","low","satisfactory","low","1","1","satisfactory","medium","high","small","[14,18)","3","3","0","[6,10)","[2,3)","3","[5,9)","[3,7)","[1,15]","[3,7)"
"601","No","Travel_Rarely","Sales","Life Sciences","Female","Manager","Divorced","No","elder","high","short","4","high","unsatisfactory","low","4","4","unsatisfactory","high","high","large","[14,18)","3","3","3","[10,13)","[2,3)","3","[3,5)","[2,3)","[1,15]","[2,3)"
"602","No","Travel_Rarely","Sales","Medical","Female","Sales Executive","Married","Yes","young","high","medium","1","high","satisfactory","low","3","2","satisfactory","medium","medium","medium","[12,14)","3","3","2","[0,6)","[3,6]","3","[5,9)","[3,7)","[0,1)","[3,7)"
"603","No","Travel_Frequently","Human Resources","Human Resources","Male","Human Resources","Single","No","mid","high","short","1","high","unsatisfactory","high","2","2","satisfactory","medium","low","medium","[18,25]","4","4","0","[10,13)","[2,3)","2","[9,40]","[0,2)","[0,1)","[7,14]"
"604","No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Director","Married","Yes","young","low","medium","2","medium","unsatisfactory","medium","4","3","unsatisfactory","high","medium","small","[12,14)","3","3","3","[6,10)","[3,6]","2","[5,9)","[7,18]","[1,15]","[7,14]"
"605","No","Non-Travel","Sales","Life Sciences","Female","Sales Executive","Married","No","mid","high","long","4","high","unsatisfactory","low","1","2","satisfactory","medium","low","large","[18,25]","3","3","1","[10,13)","[0,2)","3","[3,5)","[2,3)","[1,15]","[2,3)"
"606","No","Travel_Frequently","Research & Development","Life Sciences","Male","Healthcare Representative","Single","Yes","young","low","short","3","high","satisfactory","medium","4","2","satisfactory","medium","high","large","[12,14)","3","4","0","[10,13)","[3,6]","4","[3,5)","[2,3)","[0,1)","[2,3)"
"607","No","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","Single","No","mid","high","long","3","high","unsatisfactory","high","3","1","satisfactory","low","high","large","[18,25]","3","1","0","[6,10)","[3,6]","3","[3,5)","[2,3)","[0,1)","[2,3)"
"608","No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Married","No","elder","medium","short","2","high","satisfactory","high","3","1","unsatisfactory","low","high","large","[14,18)","3","4","1","[6,10)","[3,6]","2","[3,5)","[3,7)","[0,1)","[2,3)"
"609","Yes","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Divorced","No","elder","low","medium","3","high","unsatisfactory","low","3","3","satisfactory","high","medium","large","[11,12)","3","1","1","[13,28]","[0,2)","4","[5,9)","[7,18]","[1,15]","[3,7)"
"610","Yes","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Single","No","young","medium","short","2","medium","unsatisfactory","medium","3","2","satisfactory","medium","high","large","[14,18)","3","1","0","[0,6)","[3,6]","3","[0,3)","[2,3)","[1,15]","[0,2)"
"611","No","Travel_Rarely","Research & Development","Technical Degree","Female","Healthcare Representative","Single","No","mid","low","short","4","medium","satisfactory","high","2","2","satisfactory","medium","high","medium","[11,12)","3","1","0","[13,28]","[3,6]","3","[9,40]","[7,18]","[1,15]","[7,14]"
"612","No","Travel_Rarely","Sales","Life Sciences","Male","Sales Representative","Married","No","young","low","medium","4","medium","unsatisfactory","low","2","1","satisfactory","low","medium","large","[14,18)","3","2","0","[13,28]","[2,3)","4","[5,9)","[7,18]","[1,15]","[2,3)"
"613","Yes","Travel_Frequently","Research & Development","Medical","Male","Laboratory Technician","Divorced","No","young","medium","short","3","medium","unsatisfactory","low","2","1","unsatisfactory","low","low","medium","[14,18)","3","1","2","[0,6)","[2,3)","3","[0,3)","[0,2)","[0,1)","[0,2)"
"614","No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Director","Married","No","mid","medium","long","2","low","unsatisfactory","high","2","3","unsatisfactory","high","high","large","[14,18)","3","3","1","[13,28]","[2,3)","3","[9,40]","[7,18]","[0,1)","[0,2)"
"615","No","Non-Travel","Sales","Medical","Male","Manager","Divorced","No","elder","low","short","3","high","unsatisfactory","low","3","4","unsatisfactory","high","high","large","[18,25]","4","4","1","[10,13)","[0,2)","2","[9,40]","[7,18]","[1,15]","[7,14]"
"616","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Divorced","No","young","low","long","5","medium","satisfactory","high","3","2","satisfactory","medium","high","large","[18,25]","4","4","1","[10,13)","[2,3)","2","[5,9)","[7,18]","[1,15]","[7,14]"
"617","Yes","Travel_Frequently","Research & Development","Life Sciences","Female","Laboratory Technician","Single","No","young","low","long","2","medium","unsatisfactory","low","2","1","satisfactory","low","high","medium","[18,25]","4","3","0","[0,6)","[2,3)","1","[0,3)","[2,3)","[1,15]","[2,3)"
"618","No","Travel_Rarely","Sales","Medical","Female","Sales Representative","Married","No","young","high","short","3","high","unsatisfactory","high","3","1","unsatisfactory","low","low","medium","[18,25]","3","4","1","[0,6)","[3,6]","3","[0,3)","[0,2)","[0,1)","[0,2)"
"619","No","Travel_Rarely","Sales","Life Sciences","Female","Manager","Married","Yes","elder","medium","long","3","high","satisfactory","medium","3","4","satisfactory","high","medium","large","[12,14)","3","3","1","[10,13)","[2,3)","2","[0,3)","[0,2)","[0,1)","[0,2)"
"620","No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Married","No","mid","high","medium","2","high","satisfactory","medium","2","1","satisfactory","low","low","medium","[18,25]","3","4","1","[0,6)","[3,6]","2","[0,3)","[0,2)","[0,1)","[0,2)"
"621","No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Single","No","mid","high","medium","4","high","unsatisfactory","low","3","2","satisfactory","medium","medium","medium","[18,25]","3","2","0","[10,13)","[3,6]","3","[9,40]","[7,18]","[0,1)","[7,14]"
"622","No","Travel_Rarely","Research & Development","Life Sciences","Female","Manager","Married","No","elder","low","medium","3","low","unsatisfactory","low","3","5","unsatisfactory","high","low","large","[11,12)","3","4","0","[10,13)","[3,6]","1","[9,40]","[7,18]","[1,15]","[7,14]"
"623","No","Travel_Rarely","Research & Development","Medical","Male","Manufacturing Director","Single","Yes","elder","low","medium","3","low","satisfactory","high","2","2","unsatisfactory","medium","low","large","[14,18)","3","4","0","[6,10)","[3,6]","3","[5,9)","[3,7)","[1,15]","[2,3)"
"624","No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Married","No","mid","medium","long","3","high","satisfactory","high","2","2","satisfactory","high","low","medium","[18,25]","4","4","2","[6,10)","[2,3)","3","[5,9)","[7,18]","[1,15]","[7,14]"
"625","Yes","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Married","Yes","young","low","long","3","low","unsatisfactory","medium","1","2","satisfactory","medium","high","large","[11,12)","3","3","1","[0,6)","[2,3)","3","[0,3)","[2,3)","[1,15]","[2,3)"
"626","No","Travel_Rarely","Research & Development","Life Sciences","Male","Healthcare Representative","Married","Yes","elder","high","medium","4","high","satisfactory","low","3","2","satisfactory","medium","medium","small","[14,18)","3","2","0","[0,6)","[2,3)","3","[3,5)","[2,3)","[1,15]","[2,3)"
"627","No","Non-Travel","Sales","Marketing","Male","Sales Executive","Single","No","mid","high","long","4","low","unsatisfactory","medium","3","2","satisfactory","medium","low","small","[18,25]","4","3","0","[10,13)","[2,3)","3","[9,40]","[3,7)","[1,15]","[7,14]"
"628","No","Travel_Rarely","Research & Development","Medical","Female","Manufacturing Director","Married","No","elder","low","long","4","low","satisfactory","high","3","2","unsatisfactory","high","low","medium","[14,18)","3","3","0","[13,28]","[2,3)","2","[9,40]","[7,18]","[1,15]","[7,14]"
"629","No","Travel_Rarely","Research & Development","Technical Degree","Female","Research Scientist","Married","No","elder","high","short","3","medium","satisfactory","low","3","1","unsatisfactory","low","medium","medium","[14,18)","3","2","1","[6,10)","[2,3)","3","[3,5)","[2,3)","[0,1)","[2,3)"
"630","No","Travel_Rarely","Research & Development","Medical","Female","Research Scientist","Single","No","mid","low","short","4","medium","satisfactory","high","2","1","unsatisfactory","medium","low","medium","[11,12)","3","3","0","[6,10)","[3,6]","3","[5,9)","[3,7)","[1,15]","[3,7)"
"631","No","Travel_Rarely","Research & Development","Technical Degree","Male","Research Scientist","Married","Yes","young","medium","medium","4","low","satisfactory","high","3","1","satisfactory","medium","low","small","[12,14)","3","3","1","[6,10)","[3,6]","3","[5,9)","[2,3)","[0,1)","[3,7)"
"632","No","Travel_Rarely","Research & Development","Life Sciences","Female","Manufacturing Director","Single","Yes","mid","low","short","4","medium","satisfactory","low","3","2","unsatisfactory","medium","low","large","[11,12)","3","4","0","[13,28]","[2,3)","3","[9,40]","[7,18]","[1,15]","[7,14]"
"633","No","Travel_Rarely","Research & Development","Medical","Male","Research Director","Divorced","No","elder","high","short","2","medium","satisfactory","medium","3","4","satisfactory","high","low","large","[18,25]","4","3","1","[10,13)","[0,2)","2","[5,9)","[3,7)","[1,15]","[3,7)"
"634","No","Non-Travel","Research & Development","Technical Degree","Male","Research Scientist","Married","No","elder","high","long","4","high","satisfactory","medium","3","2","unsatisfactory","medium","low","large","[18,25]","3","3","1","[13,28]","[3,6]","4","[5,9)","[7,18]","[1,15]","[7,14]"
"635","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Single","Yes","mid","low","short","3","low","satisfactory","low","3","1","satisfactory","medium","low","large","[11,12)","3","3","0","[6,10)","[3,6]","3","[3,5)","[2,3)","[1,15]","[2,3)"
"636","No","Non-Travel","Research & Development","Life Sciences","Male","Laboratory Technician","Married","No","young","high","medium","5","medium","unsatisfactory","high","1","1","satisfactory","medium","low","medium","[18,25]","3","4","3","[0,6)","[3,6]","3","[3,5)","[2,3)","[1,15]","[2,3)"
"637","No","Travel_Rarely","Sales","Technical Degree","Female","Sales Executive","Divorced","No","elder","high","short","3","high","unsatisfactory","low","4","4","unsatisfactory","high","low","medium","[12,14)","3","4","1","[13,28]","[3,6]","3","[9,40]","[7,18]","[1,15]","[7,14]"
"638","No","Travel_Rarely","Research & Development","Medical","Male","Manufacturing Director","Married","No","elder","high","medium","4","low","unsatisfactory","low","2","2","satisfactory","medium","medium","medium","[14,18)","3","3","0","[10,13)","[2,3)","3","[0,3)","[0,2)","[0,1)","[0,2)"
"639","No","Travel_Rarely","Human Resources","Human Resources","Male","Manager","Divorced","No","elder","low","long","4","medium","unsatisfactory","medium","2","5","satisfactory","high","low","large","[14,18)","3","2","3","[13,28]","[2,3)","2","[9,40]","[3,7)","[1,15]","[3,7)"
"640","No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","Single","No","elder","high","medium","3","low","satisfactory","low","1","3","satisfactory","high","high","large","[11,12)","3","1","0","[10,13)","[3,6]","2","[5,9)","[3,7)","[0,1)","[2,3)"
"641","No","Travel_Frequently","Sales","Medical","Female","Sales Executive","Divorced","Yes","young","high","short","1","medium","satisfactory","medium","4","2","satisfactory","medium","medium","medium","[18,25]","4","2","2","[6,10)","[3,6]","3","[5,9)","[3,7)","[0,1)","[3,7)"
"642","Yes","Travel_Rarely","Sales","Marketing","Female","Manager","Married","No","elder","low","short","1","medium","unsatisfactory","medium","1","5","satisfactory","high","high","medium","[14,18)","3","4","1","[10,13)","[3,6]","3","[9,40]","[7,18]","[1,15]","[7,14]"
"643","No","Travel_Rarely","Research & Development","Technical Degree","Male","Research Scientist","Single","No","mid","low","short","3","low","satisfactory","low","3","2","unsatisfactory","medium","high","large","[12,14)","3","4","0","[10,13)","[2,3)","3","[5,9)","[0,2)","[1,15]","[7,14]"
"644","No","Travel_Rarely","Research & Development","Technical Degree","Male","Research Scientist","Divorced","No","elder","high","long","2","low","unsatisfactory","medium","3","2","satisfactory","low","high","medium","[14,18)","3","1","2","[6,10)","[3,6]","3","[9,40]","[7,18]","[1,15]","[7,14]"
"645","No","Travel_Rarely","Research & Development","Technical Degree","Female","Research Scientist","Divorced","No","young","medium","medium","3","high","satisfactory","high","2","1","unsatisfactory","low","low","medium","[12,14)","3","3","1","[0,6)","[2,3)","3","[0,3)","[0,2)","[0,1)","[0,2)"
"646","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Divorced","No","young","medium","medium","3","low","satisfactory","medium","3","2","satisfactory","high","low","large","[12,14)","3","4","3","[13,28]","[3,6]","3","[5,9)","[7,18]","[1,15]","[7,14]"
"647","Yes","Travel_Frequently","Sales","Medical","Female","Sales Representative","Single","Yes","young","low","short","2","high","unsatisfactory","medium","3","1","satisfactory","low","medium","medium","[12,14)","3","3","0","[0,6)","[2,3)","4","[0,3)","[0,2)","[0,1)","[0,2)"
"648","Yes","Travel_Rarely","Research & Development","Other","Male","Laboratory Technician","Divorced","No","mid","medium","long","3","medium","unsatisfactory","high","3","2","satisfactory","medium","low","large","[14,18)","3","2","1","[6,10)","[3,6]","2","[0,3)","[0,2)","[0,1)","[0,2)"
"649","No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Divorced","No","mid","medium","short","2","low","unsatisfactory","low","3","1","satisfactory","low","low","large","[18,25]","4","1","1","[6,10)","[2,3)","3","[0,3)","[0,2)","[0,1)","[0,2)"
"650","No","Travel_Rarely","Research & Development","Technical Degree","Male","Healthcare Representative","Married","No","elder","high","long","4","medium","unsatisfactory","medium","3","3","satisfactory","high","high","large","[18,25]","4","4","1","[13,28]","[3,6]","3","[9,40]","[7,18]","[1,15]","[0,2)"
"651","No","Travel_Rarely","Human Resources","Human Resources","Male","Human Resources","Married","No","mid","medium","short","2","medium","satisfactory","high","3","1","satisfactory","medium","low","small","[18,25]","3","3","1","[0,6)","[0,2)","1","[3,5)","[2,3)","[0,1)","[2,3)"
"652","No","Travel_Rarely","Human Resources","Life Sciences","Female","Human Resources","Divorced","Yes","elder","low","short","3","high","satisfactory","low","3","1","satisfactory","low","low","large","[18,25]","3","1","3","[6,10)","[2,3)","3","[0,3)","[2,3)","[1,15]","[2,3)"
"653","No","Travel_Rarely","Sales","Medical","Female","Sales Representative","Married","No","young","high","long","3","medium","satisfactory","high","4","1","satisfactory","low","low","large","[14,18)","3","2","1","[0,6)","[3,6]","3","[0,3)","[0,2)","[0,1)","[0,2)"
"654","No","Travel_Rarely","Research & Development","Technical Degree","Female","Research Scientist","Single","Yes","young","medium","short","1","medium","satisfactory","medium","2","1","unsatisfactory","low","high","medium","[11,12)","3","3","0","[0,6)","[3,6]","4","[0,3)","[2,3)","[1,15]","[2,3)"
"655","No","Travel_Frequently","Research & Development","Life Sciences","Male","Manufacturing Director","Divorced","No","mid","low","long","4","high","satisfactory","low","4","2","satisfactory","medium","medium","medium","[12,14)","3","1","1","[6,10)","[3,6]","3","[9,40]","[7,18]","[1,15]","[2,3)"
"656","Yes","Travel_Frequently","Sales","Technical Degree","Male","Sales Representative","Married","No","young","high","short","3","high","unsatisfactory","high","3","1","satisfactory","low","medium","large","[14,18)","3","4","1","[0,6)","[3,6]","4","[3,5)","[2,3)","[1,15]","[2,3)"
"657","No","Travel_Rarely","Sales","Medical","Female","Sales Executive","Married","Yes","elder","low","long","3","high","satisfactory","high","3","2","satisfactory","medium","high","large","[14,18)","3","3","1","[10,13)","[3,6]","2","[5,9)","[3,7)","[1,15]","[2,3)"
"658","No","Travel_Rarely","Research & Development","Medical","Male","Manufacturing Director","Married","Yes","elder","low","long","3","low","satisfactory","medium","3","3","unsatisfactory","high","low","medium","[18,25]","4","4","1","[10,13)","[3,6]","2","[9,40]","[7,18]","[1,15]","[7,14]"
"659","No","Travel_Frequently","Research & Development","Medical","Male","Manufacturing Director","Divorced","Yes","elder","high","long","4","medium","satisfactory","medium","4","2","satisfactory","medium","low","medium","[18,25]","3","3","0","[13,28]","[3,6]","4","[9,40]","[7,18]","[1,15]","[7,14]"
"660","No","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Married","No","mid","high","medium","2","medium","satisfactory","high","3","2","unsatisfactory","medium","medium","large","[14,18)","3","2","1","[6,10)","[0,2)","3","[3,5)","[2,3)","[1,15]","[2,3)"
"661","No","Travel_Frequently","Research & Development","Life Sciences","Female","Research Scientist","Single","Yes","mid","high","short","2","medium","satisfactory","low","3","2","satisfactory","medium","low","large","[14,18)","3","4","0","[10,13)","[2,3)","3","[5,9)","[7,18]","[0,1)","[7,14]"
"662","No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Divorced","Yes","elder","medium","medium","1","low","satisfactory","high","3","3","satisfactory","high","high","large","[12,14)","3","3","1","[10,13)","[2,3)","3","[9,40]","[7,18]","[0,1)","[7,14]"
"663","Yes","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Single","Yes","young","high","long","1","medium","satisfactory","low","3","1","satisfactory","low","high","medium","[11,12)","3","4","0","[0,6)","[3,6]","3","[0,3)","[0,2)","[1,15]","[0,2)"
"664","No","Travel_Frequently","Sales","Medical","Male","Sales Executive","Married","No","mid","low","medium","3","high","satisfactory","medium","3","2","unsatisfactory","medium","medium","small","[14,18)","3","1","2","[0,6)","[2,3)","3","[3,5)","[3,7)","[0,1)","[3,7)"
"665","No","Travel_Rarely","Research & Development","Medical","Female","Research Scientist","Married","No","young","low","medium","3","high","unsatisfactory","high","4","1","satisfactory","low","high","large","[14,18)","3","1","0","[0,6)","[0,2)","3","[3,5)","[2,3)","[0,1)","[2,3)"
"666","No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Married","Yes","mid","low","short","5","medium","satisfactory","high","3","1","satisfactory","low","high","large","[12,14)","3","2","1","[6,10)","[0,2)","1","[0,3)","[0,2)","[0,1)","[0,2)"
